Context,Question,Answer,Category
"The car had been in the long-term lot for about two weeks, said Greg Trevor, a spokesman for the Port Authority of New York and New Jersey. ",What happened since Greg Trevor said?,,0
"The coalition won in 2002 on a wave of euphoria after 24 years of rule by Daniel Arap Moi, but now is in a precarious position because of growing public dissatisfaction. Both camps agree that the existing constitution is outdated and oppressive but have failed to reach consensus on the new one, which has been the subject of debate since 1997.",What event has already finished?,"won, wave, rule",0
"Cuban exiles in Miami will now ``proceed with all their resources to impede or delay'' the ruling, Cuba predicted Wednesday. ``We cannot stop mobilizing!",What event has already finished?,"predicted, ruling",0
"He also referred to the Daily Mail's support for facism and its opposition to allowing Jews fleeing European pogroms to come to Britain in the 1930s. ""What Mr. Livingstone was doing when he made the statement which has led to this hearing is to reflect his long-held and, it's accepted, honestly held political view of the Mail group,"" Child told a disciplinary hearing in central London.",What happened during the reference?,"hearing, told, hearing, reflect, view",0
"If the allies succeed, Saddam Hussein will have plunged his country first into a fruitless eight-year war against Iran and then into a humiliating war against the U.S. and the allies to defend his conquest of Kuwait, leaving much of his country's military establishment and modern infrastructure in ruins. Meanwhile, the U.S. hopes, economic sanctions and an international arms embargo will remain in effect until Iraq pays war reparations to Kuwait to cover war damages.",What will happen while something succeeds?,hopes,0
"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. The record date is Nov. 9.",What will happen in the future?,"entitle, subscribe, held",0
"During the journey, Chinese and the U.S. navy held their first joint maritime exercise. ",What happened during the joint maritime exercise?,,0
"Li had said bluntly that it was ""the most unreasonable schedule"" he had ever seen. ""Badminton competition demands physical strength,"" said the head coach.",What event has already finished?,"said, seen, said",0
"A few weeks after taking the reins of government from his brother on July 31, Raul Castro hinted at some openness to dialogue with the United States in an interview with the Communist Party newspaper Granma, suggesting ties might be normalized on equal terms. But the US had shot back that it was not talking to ""Fidel light.""",What event has begun but has not finished?,suggesting,0
"A respected figure and twice a member of the Chinese People's Political Consultative Congress, Cai has used his scientific achievements to reach practical results for wetland conservation, defending the idea that ""wetlands are closely linked to human survival and development."" Cai also stressed the importance of wetlands for sustainable economic development and human well-being, especially in their function as the ""kidneys of nature.""",What happened before conservation?,"reach, used",0
"The combined effect of these changes is expected to save the company about $4 million in interest expenses next year, or six cents a share. Shoney's said the latest restructuring affected bank indebtedness that was incurred to finance $585 million of the company's $728 million recapitalization that took place in 1988.",What happened before restructuring?,"indebtedness, incurred, recapitalization, took",0
"While meeting Sassou-Nguesso, Hu said the friendly cooperation between China and the Republic of Congo has been going on smoothly since the two countries established strategic partnership more than a year ago. ""We've been exploring new ways to serve our mutual best interest and to create a win-win situation,"" he said.",What will happen in the future?,,0
"Shaheen's rise began in 1999 when he was running for Kenya by winning the world youth steeplechase title. In 2001, he lowered the world junior 3000m steeplechase record to 7:58.66.",What was Shaheen doing while his rise began in 1999?,"running, winning",0
"Juan Miguel Gonzalez objected to the media access to Elian that Lazaro Gonzalez's family has permitted and to the treatment of Elian by psychologists selected by Lazaro Gonzalez's family. Meantime, the possibility of a meeting between Attorney General Janet Reno and Lazaro Gonzalez's family reemerged Thursday.",What happened while Juan Miguel Gonzalez objected?,reemerged,0
"He said the aim of the mission, codenamed Alba, was peaceful, noting: ""Alba means dawn but it also means renaissance."" He said his government would provide additional ""technical and financial assistance"" to Vlore, and that an Italian consulate would be set up in the town.",What will happen in the future?,"provide, assistance, set",0
"Tung's comments came amid a growing row with the democratic lobby over his plans to tighten human rights law, including banning donations from foreign individuals and political organisations. He has argued that such a move would prevent outside influence on local politicians.",What event has already finished?,"comments, came, argued",0
"She recalled a 10-year-old boy who refused to go to school when he learned his mother had contracted HIV last year. He cried, locked himself in his room and refused to talk with her.",What will happen after she recalled?,,0
"It said the creation of EMU was ""one of the most important international monetary developments in the post-Bretton Woods period."" The statement said the IMF's Executive Board ""will undertake a broad programme to assess the implications of EMU for the international monetary system and for the Fund.""",What will happen after a programme is undertaken?,assess,0
"Shares of Coors, the company's sole publicly traded major competitor, fell $1.50 apiece to $19.125 in national over-the-counter trading, apparently on investor concerns over potential fallout from the coming pricing struggle. Anheuser noted that ""beer industry sales volume is 1989 is following the trend that has characterized the last half of the '80s, with sales volume being essentially flat"" while consolidation creates fewer, bigger players.",What happened after shares fell?,noted,0
"The United States has filed a trade case with the World Trade Organization (WTO) accusing Turkey of imposing unfair restrictions on US rice exports, US Trade Representative Rob Portman announced Wednesday. ""Right now American rice exporters are being unfairly restricted.",What will happen in the future?,,0
"He did not, however, mention the investment ban on US companies in Burma, which was announced by Washington a week ago in response to the junta's continued repression of the pro-democracy opposition. Most of the countries of the Association of Southeast Asian Nations have already rebuffed the US appeal to bar Burma's entry into the group, which is expected to occur later this year.",What happened before the junta's repression started?,,0
"Saddam appeared to accept a border demarcation treaty he had rejected in peace talks following the August 1988 cease-fire of the eight-year war with Iran. The move seemed aimed at heading off more trouble with Iran, which had condemned Iraq's invasion of Kuwait on Aug. 2 but also criticized the multinational force dispatched to Saudi Arabia.",What may occur after Saddam appeared to accept a border demarcation treaty?,heading,0
"Moreover, the company said higher sales and shipments to service centers from its Armco Steel Co. joint venture failed to offset weakness in the automotive market, higher production costs and a poorer product mix. Armco shares closed unchanged at $10.625 in composite trading on the New York Stock Exchange.",What happened after weaknesses in the market and higher production costs?,"said, sales, shipments, failed, offset, closed, unchanged, trading",0
"Acer, the world's seventh largest computer maker, reported last month that its net profit slumped 44 percent from a year earlier to 3.06 billion Taiwan dollars (111.1 million US) in 1996. ",What event has begun but has not finished?,,0
"Between 20 and 30 people were arrested early Monday in the Paris region under an investigation into the funding of Islamist extremists, officials said. Investigators believe some of the detainees are active in organised crime and have carried out armed robberies to raise money for Islamist groups, the officials said.",What happened after armed robberies were carried out?,"investigation, arrested, said, said",0
"Japan's national beach soccer team became the second Group A team to qualify for the quarter-finals of the sport's World Cup, held on Copacabana beach in Brazilian city Rio de Janeiro, though the team lost 5-8 to Poland on Tuesday. Japan, the United States and Poland are equal on points, each with one win and two losses.",What happened during Japan team lost to Poland but has not finished?,Cup,0
"Imagine that such a world is actually within our grasp,"" he concluded. The agency and its director received their award, consisting of a Nobel diploma, a gold medal and 10 million Swedish kronor (1.3 million dollars, 1.1 million euros) to be split between them, in a brightly decorated City Hall, decked with yellow orchids and carnations, and in the presence of Norway's King Harald.",What event has begun but has not finished?,consisting,0
"According to a survey, 2-3 percent of the world populations suffer from severe mental disorder. The first SAARC psychiatrists meeting was held in Agra, India last year.",What happened after 2-3 percent of the world population began to suffer from severe mental disorder?,"meeting, held",0
"The two companies have recently agreed to extend their two existing contracts on purchasing Chinese electricity via the 110- kV power grid for the next four years, ensuring power supplies for the five Vietnamese provinces of Lao Cai, Lai Chau, Ha Giang, Yen Bai and Tuyen Quang. Vietnam has purchased 588 million kWh each year under the contracts since they were signed in 2004, said the report.",What was anticipated to happen on an ongoing basis after the two companies agreed to something?,"purchasing, ensuring, purchased",0
"Zhao Zhihong, 34, was allegedly involved in 21 cases of murder, rape, robbery and larceny between 1996 and 2005, according to the People's Procuratorate of Hohhot. His victims are said to have included a college student, a government employee, a female taxi driver and a 12-year-old girl.",What happened before something was alleged?,"involved, murder, rape, robbery, larceny, included",0
"An OPEC spokesman suggested Thursday that Sudan could join in March as a 13th member after approval from new president Omar al Bashir, while a membership bid by South American producer Ecuador must clear similar political obstacles. ""Both Angola and Sudan feel that OPEC membership will give additional political benefit and protection, while for Ecuador there has to be an additional motive,"" said John Hall.",What could happen during join?,"March, membership, membership, feel, has, be, motive",0
"Russia vehemently opposes Georgia's bid to join NATO and accuses Georgia of planning military action against Abkhazia and South Ossetia, which are supported by Moscow. ",What might of happened during the accusation?,planning,0
"The boat was reportedly carrying 25 illegal immigrants, fourteen of them were rescued by the Turkish Coast Guard while three others, who managed to swim ashore, were seized in the Ulamis quarter of Izmir, according to the report. The Turkish Coast Guard could not find the missing eight immigrants and the search for them continues, the report said.",What did the Turkish Coast Guard attempt to do during the search of the missing eight immigrants?,"find, search",0
"AVON RENT-A-CAR amp TRUCK Corp. said it declared a dividend of one warrant for each three shares of common stock. Currently, Avon, based in Santa Monica, Calif., has 3.3 million common shares outstanding.",What will happen in the future?,,0
The government dissolved the federation 10 days later and set up a caretaker committee to run the sport. FIFA has also dismissed the caretaker committee appointed by the government last week to oversee the running of the football.,What happened before the government dissolved the federation?,days,0
"Hirsh said that his group did not see starving children during their ""limited visit."" In early April, North Korea said that 134 children died of malnutrition, an admission that belyed propaganda about the country of 20 million being the ""workers paradise.""",What happened after the group visit?,said,0
"Puskas, who died after a long battle with Alzheimer's on November 17 aged 79, was the inspiration of Hungary's ""Golden Team,"" which won Olympic gold in 1952 and was runner-up to Germany in the 1954 World Cup. One of the game's best-ever strikers, Puskas scored a remarkable 83 goals in 84 international matches for Hungary from 1945 to 1956.",What will happen in the future?,,0
"Indonesian police in the Central Java town of Yogyakarta have arrested 24 students for calling for a boycott of the May elections and demanding a new president, a report said Thursday. Yogyakarta police chief Colonel A.R.",What will happen after the students are arrested?,,0
"The last time the Shroud was shown, in 1978, more than three million pilgrims made the trip to Turin to view it. A negative imprint on the cloth suggesting a face and body bearing wounds was worshipped to be that of Christ.",What happened before suggestion of Christ imprint?,"bearing, shown",0
"England were given a flying start by Willstrop who overcame the first game loss to defeat Shabana 4-9, 9-6, 9-3, 9-1 in 57 minutes. Nicol, a former world and British open champion brushed aside Mohammad Abbas 9-0, 9-2, 9-1 in under half-an-hour to give England an unassailable 2-0 lead.",What happened after the first game?,"were, start, overcame, defeat, brushed",0
"Kyrgyzstan, an impoverished but strategically located republic that hosts both Russian and US air bases, has been struggling to stabilise since longtime president Askar Akayev was overthrown in a street revolt in March 2005. The country has been plagued by political unrest, contract killings and organised crime.",What event happened after the street revolt?,"struggling, stabilise, plagued, unrest, killings, crime",0
"If the allies succeed, Saddam Hussein will have plunged his country first into a fruitless eight-year war against Iran and then into a humiliating war against the U.S. and the allies to defend his conquest of Kuwait, leaving much of his country's military establishment and modern infrastructure in ruins. Meanwhile, the U.S. hopes, economic sanctions and an international arms embargo will remain in effect until Iraq pays war reparations to Kuwait to cover war damages.",What happened before something may have succeeded?,,0
"Hariri was to have traveled to Edmonton Saturday for a meeting with the provincial premier, Ralph Klein, and other meetings with business leaders. Canadian officials said Hariri had a hectic schedule following his arrival here Thursday directly from Moscow.",What event has already finished?,"said, schedule, arrival",0
"China will issue its regulations on human organ transplants ""soon"", said an official of the Ministry of Health (MOH). ""The draft of the regulations has been submitted to the State Council for amendment,"" said Wang Jianrong, vice director of the MOH regulations department as quoted in Monday's Guangming Daily.",What will happen in the future?,issue,0
"The statement said the IMF's Executive Board ""will undertake a broad programme to assess the implications of EMU for the international monetary system and for the Fund."" IMF Managing Director Michel Camdessus earlier told the committee that IMF surveillance of the new euro area, due to come into being in 1999, would be ""a challenge for the Fund"" because of the weight in the monetary system of the countries likely to take part.",What will happen after the IMF undertakes the programme?,"programme, assess, surveillance, come, challenge, take",0
"Heavily armed police fired tear gas to drive away demonstrators who gathered near the venue of the summit since Friday morning to protest against US foreign and trade policy, and the US-led war on Iraq. Some 40,000 people joined the organized demonstrations.",What will happen in the future?,,0
"Grand jury testimony, which was to remain secret, was published in the Chronicle and the words of Barry Bonds, Jason Giambi and sprinter Tim Montgomery were used to link them to the steroid scandal. The Chronicle reporters, Mark Fainaru-Wada and Lance Williams, wrote a book on the BALCO scandal.",What happened before the steroid scandal?,published,0
"In a television interview late Monday, General Likulia declared that the Zairean armed forces, the FAZ, was able to hold the city against rebels who have swept across the eastern half of the country, but needed ""the support of the people"". He claimed that inhabitants of all the towns conquered by Laurent Kabila's guerrillas since October were putting up ""strong resistance to the rebels"", but denounced wide divisions among Zairean politicians which had weakened the strength of the armed forces.",What event has begun but has not finished?,,0
"New York's main contract, light sweet crude for delivery in January, lost 45 cents to 62.98 dollars per barrel in electronic deals before the official opening of the US market. World oil prices had risen sharply last week, mainly owing to data that revealed falls in US energy stocks and expectations that the Organization of Petroleum Exporting Countries will decide later this month to cut further its oil output.",What will happen in the future?,"decide, cut, delivery",0
"Under the government proposal, a mechanism would be created to provide an information and cooperation link that would allow smaller firms to learn about access to global markets from multinationals, Sioufas said. Sioufas made the remarks at the opening of a three-day conference in Athens sponsored by the OECD, Asia Pacific Economic Cooperation (APEC) and the Development Ministry.",What would firms learn about after the creation of the mechanism?,access,0
"Israel and the international donors cut off the direct aid to the Palestinian government led by Hamas, which was subsequently unable to pay its 160,000 civil servants for months. Furthermore, Israel restored its military operation in the Gaza Strip on June 28, three days after three Palestinian militant groups, headed by a Hamas armed wing, abducted Israeli Corporal Gilad Shalit in a cross-border raid on an Israeli post in southern Gaza Strip.",What event has begun but has not finished?,"operation, headed, led",0
"World marathon record holder Paul Tergat thinks next year's London Marathon will provide an opportunity for a new world-class battle, local media reported Wednesday. ""I am looking forward to facing a great competition on a fast course.",What will happen during the battle?,,0
"He said the independent power segment could grow to provide as much as 50% of near-term generation capacity, adding: ""We expect to supply a significant share of this market."" Westinghouse also expects its international sales to soon grow to 25% of total corporate sales from 20% last year.",What is happening now?,"said, expect, expects",0
"The acquisition brings together the two largest competitors to Home Shopping Network Inc., which now reaches more viewers than any other company in the video shopping industry. Among them, Home Shopping, QVC and CVN already control most of that young and fast-growing market, which last year had sales of about $1.4 billion.",What event has already happened?,"acquisition, control, had",0
"Moscow, infuriated by the arrests, has imposed an economic blockade on Tbilisi by cutting transport and postal links, and has deported Georgians accused of staying in Russia illegally. Ties between Moscow and Tbilisi have been strained by tensions over Georgia's breakaway regions of South Ossetia and Abkhazia and the country's bid to join NATO since President Mikhail Saakashvili came to power in 2003.",What happened after the economic blockade?,"deported, accused, staying",0
"""We will certainly look at that idea, work with the people of Lebanon, the government of Lebanon and all those who want to see accountability for this crime and for past crimes,"" said deputy spokesman Adam Ereli. He said Rice discussed the Tueni killing Monday by phone with Foreign Minister Philippe Douste-Blazy of France, which has helped Washington spearhead the move to end Syrian influence in Lebanon.",What event has begun but has not finished?,spearhead,0
